Severity,Component,Defect Age (Days),Description,Keyword Present,Outage Risk (1/0)
3,1,11,exception data corruption memory leak,1,0
4,3,10,resource exhaustion security,1,1
3,2,21,rollback,1,0
2,3,11,,0,1
2,3,3,,0,0
3,3,7,,0,0
4,4,29,configuration error system failure performance degradation,1,1
4,1,28,,0,0
3,1,10,,0,0
2,4,6,,0,1
2,1,7,,0,1
2,1,12,,0,0
2,3,14,,0,0
2,1,18,,0,0
1,4,15,,0,0
4,4,7,service disruption,1,1
3,2,17,,0,0
4,4,1,system failure access denied timeout,1,1
4,3,27,security performance degradation,1,1
1,4,3,,0,0
4,3,8,backup backup crash,1,1
2,1,24,service disruption,1,0
1,4,12,,0,0
3,3,23,service disruption,1,1
2,3,6,data corruption data loss crash,1,0
4,3,23,service disruption rollback memory leak,1,1
3,2,5,,0,0
2,3,3,critical memory leak,1,0
2,3,6,,0,1
2,1,7,critical critical,1,1
3,2,25,system failure configuration error,1,1
3,4,9,,0,1
3,3,7,,0,1
2,1,2,deadlock service disruption,1,1
4,4,11,unresponsive configuration error system failure,1,1
1,3,4,,0,0
3,2,14,,0,0
1,2,28,,0,0
3,1,0,resource exhaustion service disruption system failure,1,0
1,1,10,,0,0
2,3,18,unresponsive connection,1,0
4,1,4,,0,0
4,2,19,crash,1,1
1,1,8,,0,0
1,1,8,access denied timeout resource exhaustion,1,0
1,3,3,,0,0
4,3,6,performance degradation security data loss,1,1
1,1,8,,0,0
1,4,14,,0,0
4,3,22,backup,1,1
1,4,24,,0,0
1,1,24,,0,0
2,4,21,system failure,1,0
1,2,19,,0,0
4,1,28,,0,1
3,2,28,,0,0
1,4,23,,0,1
1,1,21,data corruption access denied service disruption,1,0
2,2,26,,0,0
2,3,14,,0,0
1,1,27,,0,1
4,1,8,unresponsive deadlock,1,1
4,2,27,unresponsive,1,1
2,1,26,security,1,0
1,3,19,service disruption memory leak,1,0
3,1,14,,0,0
3,1,24,,0,0
3,3,21,memory leak exception,1,0
2,3,15,,0,0
1,4,0,crash memory leak configuration error,1,1
2,3,26,,0,0
1,3,12,,0,0
4,2,0,,0,0
3,1,10,,0,1
2,3,17,,0,1
3,1,24,performance degradation backup,1,1
3,2,8,rollback security,1,0
1,1,20,,0,0
1,2,27,,0,0
1,1,21,connection security,1,0
4,3,24,rollback data corruption data corruption,1,1
3,3,14,connection,1,1
4,1,18,system failure resource exhaustion exception,1,1
4,4,16,exception resource exhaustion crash,1,1
3,1,29,,0,0
1,4,18,,0,1
1,3,12,,0,0
2,3,12,memory leak configuration error connection,1,1
3,1,22,,0,0
1,4,24,,0,0
3,4,11,system failure service disruption data corruption,1,1
4,4,1,security,1,1
3,4,24,access denied memory leak,1,1
3,3,14,,0,1
1,1,26,resource exhaustion performance degradation,1,1
3,1,8,critical service disruption system failure,1,0
4,2,24,deadlock,1,1
3,2,27,system failure system failure authentication,1,1
3,1,29,,0,0
4,2,15,data corruption crash crash,1,1
4,4,1,data loss security,1,1
2,2,5,ui layout minor,0,0
4,3,0,auth access critical,1,1
1,1,10,typo doc minor,0,0
3,4,2,connection timeout data,1,1
2,3,7,response slow ui,0,0
4,4,3,backup failure critical,1,1
1,2,12,unclear doc instructions,0,0
3,3,4,timeout api data,1,1
2,1,6,doc minor ui,0,0
4,2,0,UI data corruption,1,0
1,4,20,database minor typo,0,1
3,1,1,performance degradation doc,1,0
4,4,30,data loss security deadlock crash,1,1
1,3,0,api typo,0,0
2,4,1,database minor slow,0,0
4,1,1,critical doc crash,1,0
3,2,20,ui performance degradation,1,0
2,4,0,database minor config,0,0
4,3,2,security access denied,1,1
1,4,3,database typo,0,1
4,2,1,UI memory leak,0,0
3,1,15,document deadlock,1,0
2,4,2,database response timeout,0,0
4,1,1,critical document crash,1,0
1,3,10,API typo minor,0,0
3,2,1,UI exception,1,0
2,4,3,database minor resource,0,0
4,1,1,critical document security,1,0
1,3,12,API documentation typo,0,0
3,2,2,UI configuration error,1,0
2,4,4,database minor unresponsive,0,0
4,1,1,critical document data loss,1,0
1,3,15,API documentation crash,0,0
3,2,3,UI memory leak slow,1,0
2,4,5,database minor exception,0,0
4,1,1,critical document deadlock,1,0
1,3,18,API documentation timeout,0,0
3,2,4,UI access denied,1,0
2,4,6,database minor deadlock,0,0
4,1,1,critical document unresponsive,1,0
1,3,20,API documentation unresponsive,0,0
3,2,5,UI configuration error slow,1,0
2,4,7,database minor configuration,0,0
4,1,1,critical document resource exhaustion,1,0
1,3,22,API documentation resource exhaustion,0,0
3,2,6,UI crash unresponsive,1,0
2,4,8,database minor crash,0,0
